age,education,percentage,python_level,programming_level,math_level,ai_knowledge,interest,career_goal,course
22,Master's,98,1,1,3,2,NLP,AI Researcher,Advanced AI
20,FSC,91,2,2,3,1,RPA,AI Researcher,Advanced AI
26,Bachelor's,98,2,2,3,1,Automation,Computer Vision Engineer,Advanced AI
20,Bachelor's,80,1,1,3,3,AI Models,AI Researcher,Advanced AI
19,ICS,81,2,2,2,2,AI Content Generation,Deep Learning Engineer,Advanced AI
19,FSC,98,3,3,3,1,Machine Learning,AI Researcher,Advanced AI
17,Matric,69,1,1,2,1,Computer Vision,ML Engineer,Advanced AI
18,ICS,72,1,1,2,3,Computer Vision,Deep Learning Engineer,Advanced AI
17,ICS,93,1,1,3,2,Business Automation,AI Engineer,Advanced AI
34,Master's,84,2,1,1,1,AI Agents,ML Engineer,Advanced AI
20,Intermediate,72,1,1,1,2,Machine Learning,Computer Vision Engineer,Advanced AI
19,Bachelor's,89,2,2,3,1,AI Agents,AI Researcher,Advanced AI
31,Master's,98,3,3,2,1,Computer Vision,ML Engineer,Advanced AI
15,Matric,92,2,1,3,1,Prompt Engineering,Computer Vision Engineer,Advanced AI
26,Bachelor's,98,2,2,1,2,Business Automation,AI Researcher,Advanced AI
18,Intermediate,89,2,2,1,3,RPA,Deep Learning Engineer,Advanced AI
26,Master's,90,2,2,2,2,AI Content Generation,AI Engineer,Advanced AI
16,Intermediate,80,2,2,3,1,NLP,Deep Learning Engineer,Advanced AI
24,Bachelor's,94,2,2,2,2,NLP,AI Engineer,Advanced AI
22,Master's,98,3,3,2,1,APIs,Computer Vision Engineer,Advanced AI
19,Intermediate,98,3,3,3,1,Automation,AI Researcher,Advanced AI
17,Intermediate,86,2,2,3,2,AI Models,AI Engineer,Advanced AI
25,Bachelor's,98,2,3,2,3,Workflow Automation,Deep Learning Engineer,Advanced AI
17,Matric,87,2,2,3,2,APIs,AI Engineer,Advanced AI
16,ICS,75,1,1,1,1,Deep Learning,Deep Learning Engineer,Advanced AI
28,Master's,98,3,3,3,1,Python Automation,AI Engineer,Advanced AI
18,FSC,90,2,2,2,1,LLM,Computer Vision Engineer,Advanced AI
27,Master's,86,2,2,1,2,Workflow Automation,AI Researcher,Advanced AI
30,Master's,98,2,2,3,1,Business Automation,ML Engineer,Advanced AI
20,ICS,98,3,3,1,1,Generative AI,ML Engineer,Advanced AI
16,ICS,71,1,1,2,2,Automation,AI Researcher,Advanced AI
22,Bachelor's,67,1,1,1,2,Computer Vision,ML Engineer,Advanced AI
18,FSC,66,1,1,1,2,NLP,Deep Learning Engineer,Advanced AI
19,FSC,98,3,3,2,3,Machine Learning,AI Researcher,Advanced AI
16,ICS,76,1,2,1,2,NLP,AI Researcher,Advanced AI
19,Bachelor's,73,1,2,1,2,AI Models,AI Engineer,Advanced AI
25,Bachelor's,98,3,3,2,1,RPA,ML Engineer,Advanced AI
27,Bachelor's,90,2,2,3,1,Prompt Engineering,Deep Learning Engineer,Advanced AI
16,FSC,95,2,2,3,1,Chatbots,Deep Learning Engineer,Advanced AI
18,Intermediate,98,2,2,2,1,AI Agents,Computer Vision Engineer,Advanced AI
16,FSC,98,2,3,2,1,APIs,Deep Learning Engineer,Advanced AI
20,Bachelor's,92,2,2,1,3,Chatbots,Deep Learning Engineer,Advanced AI
20,Bachelor's,82,1,1,2,1,Chatbots,ML Engineer,Advanced AI
16,ICS,98,3,3,2,1,Workflow Automation,ML Engineer,Advanced AI
16,FSC,97,2,2,3,2,Chatbots,Deep Learning Engineer,Advanced AI
26,Bachelor's,86,2,2,2,2,Computer Vision,AI Researcher,Advanced AI
22,Bachelor's,92,1,1,2,3,Chatbots,AI Researcher,Advanced AI
17,Matric,98,2,3,1,3,Prompt Engineering,AI Application Developer,Generative AI
33,Master's,78,2,2,2,2,Automation,Computer Vision Engineer,Advanced AI
17,Intermediate,80,2,2,3,2,Computer Vision,ML Engineer,Advanced AI
19,FSC,93,2,2,1,1,LLM,LLM Engineer,Generative AI
17,Intermediate,98,1,1,2,3,LLM,AI Researcher,Advanced AI
20,Bachelor's,98,3,3,2,3,AI Content Generation,AI Researcher,Advanced AI
18,Intermediate,87,2,2,2,1,APIs,Computer Vision Engineer,Advanced AI
19,FSC,92,2,2,2,2,NLP,Computer Vision Engineer,Advanced AI
27,Bachelor's,80,1,1,1,3,Generative AI,ML Engineer,Advanced AI
19,Bachelor's,98,3,3,2,1,Machine Learning,Deep Learning Engineer,Advanced AI
20,FSC,95,2,2,2,1,AI Agents,AI Engineer,Advanced AI
17,FSC,75,1,1,3,1,APIs,Deep Learning Engineer,Advanced AI
14,Matric,80,2,1,1,1,Automation,RPA Developer,AI Automation
24,Bachelor's,97,3,3,2,2,Machine Learning,AI Researcher,Advanced AI
20,FSC,82,1,1,3,2,Business Automation,AI Engineer,Advanced AI
20,ICS,94,2,2,2,3,Chatbots,AI Engineer,Advanced AI
22,Bachelor's,98,3,3,2,1,Workflow Automation,Deep Learning Engineer,Advanced AI
29,Master's,81,1,1,2,1,Workflow Automation,ML Engineer,Advanced AI
23,Bachelor's,98,3,3,1,2,NLP,AI Researcher,Advanced AI
